年收入,问题,同意,反对,强烈同意,强烈反对
0-25k,如果人民没有受过民主教育，他们是不应该拥有普选权的。,31065,32013,7100,9215
0-25k, 人权高于主权。,33320,25795,13890,6388
0-25k, 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。,23793,34801,8064,12735
0-25k, 西方的多党制不适合中国国情。,27501,34658,5776,11458
0-25k, 在中国照搬西方式的言论自由会导致社会失序。,34363,25709,10607,8714
0-25k, 由高校自主考试招生比全国统一考试招生更好。,25940,32576,9623,11254
0-25k, 应该容许宗教人士在非宗教场所公开传教。,27450,34934,3091,13918
0-25k, 无论中小学生或大学生，都应参加由国家统一安排的军训。,29409,25493,9439,15052
0-25k, 国家的统一和领土完整是社会的最高利益。,27352,25571,19303,7167
0-25k, 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。,42055,27411,5119,4808
0-25k, 国家有义务进行对外援助。,36141,23015,11462,8775
0-25k, 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。,40204,22140,10356,6693
0-25k, 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。,27613,31757,8855,11168
0-25k, 应当允许媒体代表某一特定阶层或利益集团发言。,31806,27358,5004,15225
0-25k, 如果国家综合实力许可，那么中国有权为了维护自己的利益而采取任何行动。,28669,27492,16211,7021
0-25k, 条件允许的话应该武力统一台湾。,24698,36119,9366,9210
0-25k, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,29672,23101,15939,10681
0-25k, 应该允许中国公民同时具有外国国籍。,18369,45906,4750,10368
0-25k, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,15735,40274,8185,15199
0-25k, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,40568,13223,22983,2619
0-25k, 最低工资应由国家规定。,19764,35211,9215,15203
0-25k, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,39006,28218,6452,5717
0-25k, 在重大工程项目的决策中，个人利益应该为社会利益让路。,41974,24115,5645,7659
0-25k, 浪费粮食也是个人的自由。,15675,39608,4770,19340
0-25k, 如果猪肉价格过高，政府应当干预。,37429,20149,12780,9035
0-25k, 应当对国外同类产品征收高额关税来保护国内民族工业。,27499,33779,3277,14838
0-25k, 教育应当尽可能公立。,25233,41831,3933,8396
0-25k, 国有企业的利益属于国家利益。,37056,27799,10531,4007
0-25k, 试图控制房地产价格的行为会破坏经济发展。,18333,42201,4088,14771
0-25k, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,14800,35207,11342,18044
0-25k, 有钱人理应获得更好的医疗服务。,22317,41942,5839,9295
0-25k, 高收入者应该公开自己的经济来源。,21045,37989,10788,9571
0-25k, 靠运作资金赚钱的人对社会的贡献比不上靠劳动赚钱的人。,42701,20960,9480,6252
0-25k, 与其让国有企业亏损破产，不如转卖给资本家。,29261,28899,3594,17639
0-25k, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,54460,10796,12283,1854
0-25k, 资本积累的过程总是伴随着对普通劳动人民利益的伤害。,26603,38701,5339,8750
0-25k, 私人应当可以拥有和买卖土地。,33555,32152,9504,4182
0-25k, 政府应当采用较高的粮食收购价格以增加农民收入。,46299,18657,9931,4506
0-25k, 在华外国资本应享受和民族资本同样的待遇。,21272,36939,3186,17996
0-25k, 市场竞争中自然形成的垄断地位是无害的。,36678,28983,7705,6027
0-25k, 两个成年人之间自愿的性行为是其自由，无论其婚姻关系为何。,32198,29882,4946,12367
0-25k, 不应公开谈论自己长辈的缺点。,25915,35801,10994,6683
0-25k, 现代中国社会需要儒家思想。,11603,46728,4454,16608
0-25k, 判断艺术作品的价值的根本标准是看是不是受到人民大众喜爱。,43592,22748,6632,6421
0-25k, 即使有人口压力，国家和社会也无权干涉个人要不要孩子，要几个孩子。,17454,45894,1955,14090
0-25k, 周易八卦能够有效的解释很多事情。,31649,29680,11198,6866
0-25k, 中国传统医学对人体健康的观念比现代主流医学更高明。,42456,25767,7992,3178
0-25k, 汉字无需人为推行简化。,19369,43152,4060,12812
0-25k, 应当将中国传统文化的经典作品作为儿童基础教育读物。,38394,32698,5270,3031
0-25k, 如果是出于自愿，我会认可我的孩子和同性结成伴侣关系。,36851,33178,5372,3992
,如果人民没有受过民主教育，他们是不应该拥有普选权的。,322,339,73,88
, 人权高于主权。,344,263,141,74
, 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。,278,304,100,140
, 西方的多党制不适合中国国情。,292,361,52,117
, 在中国照搬西方式的言论自由会导致社会失序。,361,239,121,101
, 由高校自主考试招生比全国统一考试招生更好。,275,334,101,112
, 应该容许宗教人士在非宗教场所公开传教。,299,347,41,135
, 无论中小学生或大学生，都应参加由国家统一安排的军训。,278,258,125,161
, 国家的统一和领土完整是社会的最高利益。,270,277,200,75
, 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。,447,268,43,64
, 国家有义务进行对外援助。,375,229,109,109
, 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。,402,246,102,72
, 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。,270,347,91,114
, 应当允许媒体代表某一特定阶层或利益集团发言。,322,291,46,163
, 如果国家综合实力许可，那么中国有权为了维护自己的利益而采取任何行动。,326,236,187,73
, 条件允许的话应该武力统一台湾。,278,340,111,93
, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,297,238,167,120
, 应该允许中国公民同时具有外国国籍。,220,449,57,96
, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,157,437,86,142
, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,413,131,241,37
, 最低工资应由国家规定。,214,382,83,143
, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,388,302,81,51
, 在重大工程项目的决策中，个人利益应该为社会利益让路。,447,249,43,83
, 浪费粮食也是个人的自由。,178,395,59,190
, 如果猪肉价格过高，政府应当干预。,349,229,110,134
, 应当对国外同类产品征收高额关税来保护国内民族工业。,291,351,51,129
, 教育应当尽可能公立。,258,415,52,97
, 国有企业的利益属于国家利益。,359,295,115,53
, 试图控制房地产价格的行为会破坏经济发展。,183,441,33,165
, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,163,369,130,160
, 有钱人理应获得更好的医疗服务。,242,423,66,91
, 高收入者应该公开自己的经济来源。,200,411,116,95
, 靠运作资金赚钱的人对社会的贡献比不上靠劳动赚钱的人。,432,240,81,69
, 与其让国有企业亏损破产，不如转卖给资本家。,299,305,42,176
, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,526,145,121,30
, 资本积累的过程总是伴随着对普通劳动人民利益的伤害。,257,401,61,103
, 私人应当可以拥有和买卖土地。,350,312,107,53
, 政府应当采用较高的粮食收购价格以增加农民收入。,468,209,84,61
, 在华外国资本应享受和民族资本同样的待遇。,236,364,33,189
, 市场竞争中自然形成的垄断地位是无害的。,370,305,84,63
, 两个成年人之间自愿的性行为是其自由，无论其婚姻关系为何。,324,323,62,113
, 不应公开谈论自己长辈的缺点。,262,363,126,71
, 现代中国社会需要儒家思想。,121,502,51,148
, 判断艺术作品的价值的根本标准是看是不是受到人民大众喜爱。,454,241,63,64
, 即使有人口压力，国家和社会也无权干涉个人要不要孩子，要几个孩子。,199,468,34,121
, 周易八卦能够有效的解释很多事情。,310,309,128,75
, 中国传统医学对人体健康的观念比现代主流医学更高明。,431,270,85,36
, 汉字无需人为推行简化。,177,444,44,157
, 应当将中国传统文化的经典作品作为儿童基础教育读物。,392,335,53,42
, 如果是出于自愿，我会认可我的孩子和同性结成伴侣关系。,374,338,65,45
75k-100k,如果人民没有受过民主教育，他们是不应该拥有普选权的。,5564,5662,1473,2250
75k-100k, 人权高于主权。,5690,4861,2976,1422
75k-100k, 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。,4682,5688,2307,2272
75k-100k, 西方的多党制不适合中国国情。,4908,6629,1149,2263
75k-100k, 在中国照搬西方式的言论自由会导致社会失序。,6518,4548,2452,1431
75k-100k, 由高校自主考试招生比全国统一考试招生更好。,5093,5393,2545,1918
75k-100k, 应该容许宗教人士在非宗教场所公开传教。,5761,5710,748,2730
75k-100k, 无论中小学生或大学生，都应参加由国家统一安排的军训。,5459,4773,1918,2799
75k-100k, 国家的统一和领土完整是社会的最高利益。,4870,4990,3353,1736
75k-100k, 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。,7278,5640,661,1370
75k-100k, 国家有义务进行对外援助。,5948,4962,1684,2355
75k-100k, 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。,7860,3716,2328,1045
75k-100k, 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。,4971,6242,1399,2337
75k-100k, 应当允许媒体代表某一特定阶层或利益集团发言。,6035,4873,821,3220
75k-100k, 如果国家综合实力许可，那么中国有权为了维护自己的利益而采取任何行动。,5780,4453,3510,1206
75k-100k, 条件允许的话应该武力统一台湾。,4403,6685,1979,1882
75k-100k, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,4968,4374,3257,2350
75k-100k, 应该允许中国公民同时具有外国国籍。,4375,7739,1484,1351
75k-100k, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,2329,8322,1010,3288
75k-100k, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,6684,2714,4851,700
75k-100k, 最低工资应由国家规定。,3784,6601,1591,2973
75k-100k, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,7532,5367,1063,987
75k-100k, 在重大工程项目的决策中，个人利益应该为社会利益让路。,7081,5141,933,1794
75k-100k, 浪费粮食也是个人的自由。,3663,7242,992,3052
75k-100k, 如果猪肉价格过高，政府应当干预。,6059,4479,1869,2542
75k-100k, 应当对国外同类产品征收高额关税来保护国内民族工业。,4945,6181,548,3275
75k-100k, 教育应当尽可能公立。,3987,7859,688,2415
75k-100k, 国有企业的利益属于国家利益。,7382,4707,2148,712
75k-100k, 试图控制房地产价格的行为会破坏经济发展。,2964,8347,733,2905
75k-100k, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,3349,6423,2804,2373
75k-100k, 有钱人理应获得更好的医疗服务。,4235,7724,1278,1712
75k-100k, 高收入者应该公开自己的经济来源。,3809,6805,2511,1824
75k-100k, 靠运作资金赚钱的人对社会的贡献比不上靠劳动赚钱的人。,7260,4331,1816,1542
75k-100k, 与其让国有企业亏损破产，不如转卖给资本家。,5507,5533,814,3095
75k-100k, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,9156,3288,1827,678
75k-100k, 资本积累的过程总是伴随着对普通劳动人民利益的伤害。,4977,7116,908,1948
75k-100k, 私人应当可以拥有和买卖土地。,6066,5330,2664,889
75k-100k, 政府应当采用较高的粮食收购价格以增加农民收入。,7393,4444,1794,1318
75k-100k, 在华外国资本应享受和民族资本同样的待遇。,4197,6648,677,3427
75k-100k, 市场竞争中自然形成的垄断地位是无害的。,7155,5082,1726,986
75k-100k, 两个成年人之间自愿的性行为是其自由，无论其婚姻关系为何。,7204,4710,1241,1794
75k-100k, 不应公开谈论自己长辈的缺点。,5263,6015,2580,1091
75k-100k, 现代中国社会需要儒家思想。,2664,8288,1106,2891
75k-100k, 判断艺术作品的价值的根本标准是看是不是受到人民大众喜爱。,8245,3748,1540,1416
75k-100k, 即使有人口压力，国家和社会也无权干涉个人要不要孩子，要几个孩子。,3552,8197,505,2695
75k-100k, 周易八卦能够有效的解释很多事情。,5631,5356,2327,1635
75k-100k, 中国传统医学对人体健康的观念比现代主流医学更高明。,7710,4787,1648,804
75k-100k, 汉字无需人为推行简化。,2893,7910,725,3421
75k-100k, 应当将中国传统文化的经典作品作为儿童基础教育读物。,7443,5623,1245,638
75k-100k, 如果是出于自愿，我会认可我的孩子和同性结成伴侣关系。,7471,5265,1468,745
25k-50k,如果人民没有受过民主教育，他们是不应该拥有普选权的。,9884,10633,2278,4013
25k-50k, 人权高于主权。,10114,9477,4420,2797
25k-50k, 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。,8015,10848,3443,4502
25k-50k, 西方的多党制不适合中国国情。,9214,11631,2016,3947
25k-50k, 在中国照搬西方式的言论自由会导致社会失序。,11617,8403,4086,2702
25k-50k, 由高校自主考试招生比全国统一考试招生更好。,8723,10637,3583,3865
25k-50k, 应该容许宗教人士在非宗教场所公开传教。,8762,11247,961,5838
25k-50k, 无论中小学生或大学生，都应参加由国家统一安排的军训。,10957,7856,4139,3856
25k-50k, 国家的统一和领土完整是社会的最高利益。,9394,7528,7641,2245
25k-50k, 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。,13137,10276,1110,2285
25k-50k, 国家有义务进行对外援助。,11942,7826,3893,3147
25k-50k, 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。,12657,8296,3168,2687
25k-50k, 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。,9604,10752,2902,3550
25k-50k, 应当允许媒体代表某一特定阶层或利益集团发言。,9718,9428,1384,6278
25k-50k, 如果国家综合实力许可，那么中国有权为了维护自己的利益而采取任何行动。,10805,7408,6730,1865
25k-50k, 条件允许的话应该武力统一台湾。,9059,10690,4555,2504
25k-50k, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,8476,8784,4619,4929
25k-50k, 应该允许中国公民同时具有外国国籍。,6391,15393,1951,3073
25k-50k, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,5320,14374,2574,4540
25k-50k, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,12328,4163,9315,1002
25k-50k, 最低工资应由国家规定。,7543,11239,3612,4414
25k-50k, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,14010,9152,2099,1547
25k-50k, 在重大工程项目的决策中，个人利益应该为社会利益让路。,13166,8973,1668,3001
25k-50k, 浪费粮食也是个人的自由。,7120,13054,1920,4714
25k-50k, 如果猪肉价格过高，政府应当干预。,11667,7445,3814,3882
25k-50k, 应当对国外同类产品征收高额关税来保护国内民族工业。,9578,11329,1076,4825
25k-50k, 教育应当尽可能公立。,8869,13390,1551,2998
25k-50k, 国有企业的利益属于国家利益。,12788,9239,3374,1407
25k-50k, 试图控制房地产价格的行为会破坏经济发展。,5443,14852,1134,5379
25k-50k, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,5919,11399,5009,4481
25k-50k, 有钱人理应获得更好的医疗服务。,7288,13983,2212,3325
25k-50k, 高收入者应该公开自己的经济来源。,7477,11545,5167,2619
25k-50k, 靠运作资金赚钱的人对社会的贡献比不上靠劳动赚钱的人。,14057,6899,3622,2230
25k-50k, 与其让国有企业亏损破产，不如转卖给资本家。,8790,10435,1112,6471
25k-50k, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,17503,4177,4333,795
25k-50k, 资本积累的过程总是伴随着对普通劳动人民利益的伤害。,9585,12034,2218,2971
25k-50k, 私人应当可以拥有和买卖土地。,10693,10299,4059,1757
25k-50k, 政府应当采用较高的粮食收购价格以增加农民收入。,14166,6615,4043,1984
25k-50k, 在华外国资本应享受和民族资本同样的待遇。,6088,12723,912,7085
25k-50k, 市场竞争中自然形成的垄断地位是无害的。,12078,10042,2457,2231
25k-50k, 两个成年人之间自愿的性行为是其自由，无论其婚姻关系为何。,11051,9817,1593,4347
25k-50k, 不应公开谈论自己长辈的缺点。,9687,10548,4912,1661
25k-50k, 现代中国社会需要儒家思想。,4932,15441,2132,4303
25k-50k, 判断艺术作品的价值的根本标准是看是不是受到人民大众喜爱。,14029,7704,2256,2819
25k-50k, 即使有人口压力，国家和社会也无权干涉个人要不要孩子，要几个孩子。,5518,15209,662,5419
25k-50k, 周易八卦能够有效的解释很多事情。,10818,8756,4925,2309
25k-50k, 中国传统医学对人体健康的观念比现代主流医学更高明。,14753,7691,3323,1041
25k-50k, 汉字无需人为推行简化。,6665,13605,1804,4734
25k-50k, 应当将中国传统文化的经典作品作为儿童基础教育读物。,13345,10117,2327,1019
25k-50k, 如果是出于自愿，我会认可我的孩子和同性结成伴侣关系。,12633,10434,2113,1628
50k-75k,如果人民没有受过民主教育，他们是不应该拥有普选权的。,6918,7191,1799,2802
50k-75k, 人权高于主权。,7080,6349,3379,1902
50k-75k, 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。,5796,7226,2669,3019
50k-75k, 西方的多党制不适合中国国情。,6366,8218,1437,2689
