年收入,问题,同意,反对,强烈同意,强烈反对
50k-75k, 在中国照搬西方式的言论自由会导致社会失序。,8228,5656,3079,1747
50k-75k, 由高校自主考试招生比全国统一考试招生更好。,6153,6861,2989,2707
50k-75k, 应该容许宗教人士在非宗教场所公开传教。,6696,7496,725,3793
50k-75k, 无论中小学生或大学生，都应参加由国家统一安排的军训。,7145,5774,2661,3130
50k-75k, 国家的统一和领土完整是社会的最高利益。,6218,5967,4631,1894
50k-75k, 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。,9017,7240,793,1660
50k-75k, 国家有义务进行对外援助。,7723,5920,2371,2696
50k-75k, 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。,9427,5188,2598,1497
50k-75k, 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。,6462,7701,1765,2782
50k-75k, 应当允许媒体代表某一特定阶层或利益集团发言。,7117,6306,1010,4277
50k-75k, 如果国家综合实力许可，那么中国有权为了维护自己的利益而采取任何行动。,7271,5492,4536,1411
50k-75k, 条件允许的话应该武力统一台湾。,5891,7937,2825,2057
50k-75k, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,6159,5779,3608,3164
50k-75k, 应该允许中国公民同时具有外国国籍。,5176,10082,1672,1780
50k-75k, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,3145,10363,1458,3744
50k-75k, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,8518,3075,6307,810
50k-75k, 最低工资应由国家规定。,4989,8151,2169,3401
50k-75k, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,9550,6522,1416,1222
50k-75k, 在重大工程项目的决策中，个人利益应该为社会利益让路。,8972,6385,1128,2225
50k-75k, 浪费粮食也是个人的自由。,4770,9156,1292,3492
50k-75k, 如果猪肉价格过高，政府应当干预。,7752,5458,2532,2968
50k-75k, 应当对国外同类产品征收高额关税来保护国内民族工业。,6463,7761,730,3756
50k-75k, 教育应当尽可能公立。,5471,9652,903,2684
50k-75k, 国有企业的利益属于国家利益。,9194,6064,2550,902
50k-75k, 试图控制房地产价格的行为会破坏经济发展。,3791,10506,815,3598
50k-75k, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,4151,7961,3668,2930
50k-75k, 有钱人理应获得更好的医疗服务。,5193,9758,1628,2131
50k-75k, 高收入者应该公开自己的经济来源。,4986,8289,3288,2147
50k-75k, 靠运作资金赚钱的人对社会的贡献比不上靠劳动赚钱的人。,9484,5144,2317,1765
50k-75k, 与其让国有企业亏损破产，不如转卖给资本家。,6583,7104,904,4119
50k-75k, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,11712,3693,2567,738
50k-75k, 资本积累的过程总是伴随着对普通劳动人民利益的伤害。,6401,8642,1330,2337
50k-75k, 私人应当可以拥有和买卖土地。,7645,6744,3127,1194
50k-75k, 政府应当采用较高的粮食收购价格以增加农民收入。,9386,5300,2488,1536
50k-75k, 在华外国资本应享受和民族资本同样的待遇。,4725,8560,771,4654
50k-75k, 市场竞争中自然形成的垄断地位是无害的。,8802,6647,1959,1302
50k-75k, 两个成年人之间自愿的性行为是其自由，无论其婚姻关系为何。,8545,6292,1378,2495
50k-75k, 不应公开谈论自己长辈的缺点。,6777,7261,3372,1300
50k-75k, 现代中国社会需要儒家思想。,3437,10510,1355,3408
50k-75k, 判断艺术作品的价值的根本标准是看是不是受到人民大众喜爱。,10107,4916,1810,1877
50k-75k, 即使有人口压力，国家和社会也无权干涉个人要不要孩子，要几个孩子。,4088,10617,523,3482
50k-75k, 周易八卦能够有效的解释很多事情。,7213,6393,3186,1918
50k-75k, 中国传统医学对人体健康的观念比现代主流医学更高明。,9887,5835,2114,874
50k-75k, 汉字无需人为推行简化。,4020,9812,1014,3864
50k-75k, 应当将中国传统文化的经典作品作为儿童基础教育读物。,9242,7181,1562,725
50k-75k, 如果是出于自愿，我会认可我的孩子和同性结成伴侣关系。,9277,6671,1690,1072
100k-150k,如果人民没有受过民主教育，他们是不应该拥有普选权的。,5387,5260,1578,2303
100k-150k, 人权高于主权。,5578,4458,3128,1364
100k-150k, 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。,4649,5198,2511,2170
100k-150k, 西方的多党制不适合中国国情。,4793,6336,1169,2230
100k-150k, 在中国照搬西方式的言论自由会导致社会失序。,6194,4397,2362,1575
100k-150k, 由高校自主考试招生比全国统一考试招生更好。,4943,5055,2720,1810
100k-150k, 应该容许宗教人士在非宗教场所公开传教。,5827,5319,804,2578
100k-150k, 无论中小学生或大学生，都应参加由国家统一安排的军训。,5051,4625,1745,3107
100k-150k, 国家的统一和领土完整是社会的最高利益。,4501,5133,2972,1922
100k-150k, 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。,6959,5514,689,1366
100k-150k, 国家有义务进行对外援助。,5370,4972,1634,2552
100k-150k, 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。,7869,3239,2546,874
100k-150k, 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。,4722,5995,1316,2495
100k-150k, 应当允许媒体代表某一特定阶层或利益集团发言。,5972,4664,844,3048
100k-150k, 如果国家综合实力许可，那么中国有权为了维护自己的利益而采取任何行动。,5621,4398,3247,1262
100k-150k, 条件允许的话应该武力统一台湾。,3898,6690,1782,2158
100k-150k, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,4990,4060,3438,2040
100k-150k, 应该允许中国公民同时具有外国国籍。,4371,7371,1543,1243
100k-150k, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,2087,8023,869,3549
100k-150k, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,6550,2771,4448,759
100k-150k, 最低工资应由国家规定。,3454,6374,1375,3325
100k-150k, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,7120,5371,981,1056
100k-150k, 在重大工程项目的决策中，个人利益应该为社会利益让路。,6614,5045,932,1937
100k-150k, 浪费粮食也是个人的自由。,3346,7144,935,3103
100k-150k, 如果猪肉价格过高，政府应当干预。,5762,4391,1745,2630
100k-150k, 应当对国外同类产品征收高额关税来保护国内民族工业。,4542,5877,564,3545
100k-150k, 教育应当尽可能公立。,3645,7444,623,2816
100k-150k, 国有企业的利益属于国家利益。,7151,4439,2225,713
100k-150k, 试图控制房地产价格的行为会破坏经济发展。,2876,8113,792,2747
100k-150k, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,3223,6270,2719,2316
100k-150k, 有钱人理应获得更好的医疗服务。,4104,7442,1293,1689
100k-150k, 高收入者应该公开自己的经济来源。,3571,6524,2479,1954
100k-150k, 靠运作资金赚钱的人对社会的贡献比不上靠劳动赚钱的人。,6837,4354,1728,1609
100k-150k, 与其让国有企业亏损破产，不如转卖给资本家。,5531,5169,910,2918
100k-150k, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,8567,3470,1748,743
100k-150k, 资本积累的过程总是伴随着对普通劳动人民利益的伤害。,4637,6911,921,2059
100k-150k, 私人应当可以拥有和买卖土地。,5954,4909,2816,849
100k-150k, 政府应当采用较高的粮食收购价格以增加农民收入。,6873,4572,1684,1399
100k-150k, 在华外国资本应享受和民族资本同样的待遇。,4376,6217,695,3240
100k-150k, 市场竞争中自然形成的垄断地位是无害的。,6928,4834,1886,880
100k-150k, 两个成年人之间自愿的性行为是其自由，无论其婚姻关系为何。,7372,4063,1524,1569
100k-150k, 不应公开谈论自己长辈的缺点。,5053,5736,2414,1325
100k-150k, 现代中国社会需要儒家思想。,2594,7772,1008,3154
100k-150k, 判断艺术作品的价值的根本标准是看是不是受到人民大众喜爱。,8066,3491,1681,1290
100k-150k, 即使有人口压力，国家和社会也无权干涉个人要不要孩子，要几个孩子。,3427,8033,525,2543
100k-150k, 周易八卦能够有效的解释很多事情。,5290,5372,2178,1688
100k-150k, 中国传统医学对人体健康的观念比现代主流医学更高明。,7052,5066,1515,895
100k-150k, 汉字无需人为推行简化。,2472,7559,639,3858
100k-150k, 应当将中国传统文化的经典作品作为儿童基础教育读物。,7186,5393,1248,701
100k-150k, 如果是出于自愿，我会认可我的孩子和同性结成伴侣关系。,7228,4974,1604,722
300k+,如果人民没有受过民主教育，他们是不应该拥有普选权的。,2421,2329,1063,1349
300k+, 人权高于主权。,2533,1895,1922,812
300k+, 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。,2090,2263,1640,1169
300k+, 西方的多党制不适合中国国情。,2172,2953,767,1270
300k+, 在中国照搬西方式的言论自由会导致社会失序。,2646,2295,1197,1024
300k+, 由高校自主考试招生比全国统一考试招生更好。,2312,2143,1672,1035
300k+, 应该容许宗教人士在非宗教场所公开传教。,2804,2276,698,1384
300k+, 无论中小学生或大学生，都应参加由国家统一安排的军训。,2124,2179,854,2005
300k+, 国家的统一和领土完整是社会的最高利益。,1878,2488,1467,1329
300k+, 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。,3232,2499,489,942
300k+, 国家有义务进行对外援助。,2290,2389,888,1595
300k+, 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。,3601,1302,1701,558
300k+, 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。,2240,2663,866,1393
300k+, 应当允许媒体代表某一特定阶层或利益集团发言。,3060,1932,606,1564
300k+, 如果国家综合实力许可，那么中国有权为了维护自己的利益而采取任何行动。,2469,2031,1880,782
300k+, 条件允许的话应该武力统一台湾。,1479,3125,877,1681
300k+, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,2217,1670,2159,1116
300k+, 应该允许中国公民同时具有外国国籍。,1959,3325,1103,775
300k+, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,860,3590,524,2188
300k+, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,2818,1522,2189,633
300k+, 最低工资应由国家规定。,1421,3020,645,2076
300k+, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,3124,2603,613,822
300k+, 在重大工程项目的决策中，个人利益应该为社会利益让路。,2941,2383,524,1314
300k+, 浪费粮食也是个人的自由。,1505,3325,545,1787
300k+, 如果猪肉价格过高，政府应当干预。,2546,2065,1013,1538
300k+, 应当对国外同类产品征收高额关税来保护国内民族工业。,2040,2582,392,2148
300k+, 教育应当尽可能公立。,1601,3296,417,1848
300k+, 国有企业的利益属于国家利益。,3287,2013,1339,523
300k+, 试图控制房地产价格的行为会破坏经济发展。,1425,3687,621,1429
300k+, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,1489,2919,1531,1223
300k+, 有钱人理应获得更好的医疗服务。,1767,3495,864,1036
300k+, 高收入者应该公开自己的经济来源。,1569,3038,1183,1372
300k+, 靠运作资金赚钱的人对社会的贡献比不上靠劳动赚钱的人。,2950,2077,1027,1108
300k+, 与其让国有企业亏损破产，不如转卖给资本家。,2737,2251,768,1406
300k+, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,3717,1873,890,682
300k+, 资本积累的过程总是伴随着对普通劳动人民利益的伤害。,2119,3144,582,1317
300k+, 私人应当可以拥有和买卖土地。,2650,2150,1797,565
300k+, 政府应当采用较高的粮食收购价格以增加农民收入。,2822,2477,835,1028
300k+, 在华外国资本应享受和民族资本同样的待遇。,2290,2677,728,1467
300k+, 市场竞争中自然形成的垄断地位是无害的。,3087,2215,1257,603
300k+, 两个成年人之间自愿的性行为是其自由，无论其婚姻关系为何。,3575,1594,1324,669
300k+, 不应公开谈论自己长辈的缺点。,2185,2693,1097,1187
300k+, 现代中国社会需要儒家思想。,1006,3349,503,2304
300k+, 判断艺术作品的价值的根本标准是看是不是受到人民大众喜爱。,3850,1349,1303,660
300k+, 即使有人口压力，国家和社会也无权干涉个人要不要孩子，要几个孩子。,1682,3632,520,1328
300k+, 周易八卦能够有效的解释很多事情。,2230,2626,1051,1255
300k+, 中国传统医学对人体健康的观念比现代主流医学更高明。,2870,2637,781,874
300k+, 汉字无需人为推行简化。,805,3321,363,2673
300k+, 应当将中国传统文化的经典作品作为儿童基础教育读物。,3261,2575,746,580
300k+, 如果是出于自愿，我会认可我的孩子和同性结成伴侣关系。,3389,2039,1232,502
150k-300k,如果人民没有受过民主教育，他们是不应该拥有普选权的。,3429,3310,1156,1563
150k-300k, 人权高于主权。,3602,2669,2323,864
150k-300k, 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。,3091,3150,1877,1340
150k-300k, 西方的多党制不适合中国国情。,2960,4188,755,1555
150k-300k, 在中国照搬西方式的言论自由会导致社会失序。,3803,3059,1485,1111
150k-300k, 由高校自主考试招生比全国统一考试招生更好。,3290,2968,2055,1145
150k-300k, 应该容许宗教人士在非宗教场所公开传教。,3973,3244,626,1615
150k-300k, 无论中小学生或大学生，都应参加由国家统一安排的军训。,2979,3051,1088,2340
150k-300k, 国家的统一和领土完整是社会的最高利益。,2706,3494,1724,1534
150k-300k, 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。,4431,3597,419,1011
150k-300k, 国家有义务进行对外援助。,3305,3360,933,1860
150k-300k, 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。,5111,1875,1914,558
150k-300k, 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。,3015,3887,880,1676
150k-300k, 应当允许媒体代表某一特定阶层或利益集团发言。,3971,2847,614,2026
150k-300k, 如果国家综合实力许可，那么中国有权为了维护自己的利益而采取任何行动。,3566,2851,2161,880
150k-300k, 条件允许的话应该武力统一台湾。,2342,4302,1049,1765
150k-300k, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,3252,2297,2608,1301
150k-300k, 应该允许中国公民同时具有外国国籍。,2887,4622,1220,729
150k-300k, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,1222,5228,489,2519
150k-300k, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,4024,2002,2799,633
150k-300k, 最低工资应由国家规定。,2083,4224,747,2404
150k-300k, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,4389,3606,640,823
150k-300k, 在重大工程项目的决策中，个人利益应该为社会利益让路。,4109,3326,567,1456
150k-300k, 浪费粮食也是个人的自由。,2167,4580,580,2131
150k-300k, 如果猪肉价格过高，政府应当干预。,3499,2950,1089,1920
150k-300k, 应当对国外同类产品征收高额关税来保护国内民族工业。,2746,3767,385,2560
150k-300k, 教育应当尽可能公立。,2079,4755,382,2242
150k-300k, 国有企业的利益属于国家利益。,4617,2801,1551,489
150k-300k, 试图控制房地产价格的行为会破坏经济发展。,1927,5171,569,1791
150k-300k, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,2024,4090,1803,1541
150k-300k, 有钱人理应获得更好的医疗服务。,2532,4858,980,1088
150k-300k, 高收入者应该公开自己的经济来源。,2254,4274,1560,1370
150k-300k, 靠运作资金赚钱的人对社会的贡献比不上靠劳动赚钱的人。,4158,2956,1126,1218
150k-300k, 与其让国有企业亏损破产，不如转卖给资本家。,3707,3239,749,1763
150k-300k, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,5249,2508,995,706
150k-300k, 资本积累的过程总是伴随着对普通劳动人民利益的伤害。,2862,4602,562,1432
150k-300k, 私人应当可以拥有和买卖土地。,3750,3014,2138,556
150k-300k, 政府应当采用较高的粮食收购价格以增加农民收入。,4070,3282,1003,1103
150k-300k, 在华外国资本应享受和民族资本同样的待遇。,3024,3799,613,2022
150k-300k, 市场竞争中自然形成的垄断地位是无害的。,4546,3001,1315,596
150k-300k, 两个成年人之间自愿的性行为是其自由，无论其婚姻关系为何。,4988,2401,1237,832
150k-300k, 不应公开谈论自己长辈的缺点。,3034,3858,1583,983
150k-300k, 现代中国社会需要儒家思想。,1625,4860,608,2365
150k-300k, 判断艺术作品的价值的根本标准是看是不是受到人民大众喜爱。,5400,1967,1251,840
150k-300k, 即使有人口压力，国家和社会也无权干涉个人要不要孩子，要几个孩子。,2335,5056,458,1609
150k-300k, 周易八卦能够有效的解释很多事情。,3215,3632,1287,1324
150k-300k, 中国传统医学对人体健康的观念比现代主流医学更高明。,4294,3441,929,794
150k-300k, 汉字无需人为推行简化。,1237,4869,375,2977
150k-300k, 应当将中国传统文化的经典作品作为儿童基础教育读物。,4449,3600,825,584
150k-300k, 如果是出于自愿，我会认可我的孩子和同性结成伴侣关系。,4721,3000,1269,468
